movieId,title,genres
112556,Gone Girl (2014),Drama|Thriller
112582,Life Itself (2014),Documentary
112623,Dawn of the Planet of the Apes (2014),Sci-Fi
112727,Deliver Us from Evil (2014),Crime|Horror|Thriller
112850,Words and Pictures (2013),Comedy|Drama|Romance
112852,Guardians of the Galaxy (2014),Action|Adventure|Sci-Fi
112868,"Signal, The (2014)",Sci-Fi|Thriller
112897,The Expendables 3 (2014),Action|Adventure
112940,A Most Wanted Man (2014),Thriller
113064,"Trip to Italy, The (2014)",Comedy|Drama
113083,Westfront 1918 (1930),Drama|War
113132,"Key, The (1934)",Drama
113188,"Rover, The (2014)",Crime|Drama
113216,"Suspect, The (Yong-eui-ja) (2013)",Action|Thriller
113225,Magic in the Moonlight (2014),Comedy|Drama|Romance
113240,Winter Sleep (Kis Uykusu) (2014),Drama
113250,In Order of Disappearance (Kraftidioten) (2014),Action|Comedy|Crime|Thriller
113252,Housebound (2014),Comedy|Horror|Thriller
113275,The Hundred-Foot Journey (2014),Comedy|Drama
113278,Batman: Assault on Arkham (2014),Action|Animation|Crime|Thriller
113286,"Lady Without Passport, A (1950)",Crime|Drama|Film-Noir
113345,Jupiter Ascending (2015),Action|Adventure|Sci-Fi
113348,Teenage Mutant Ninja Turtles (2014),Action|Adventure|Comedy
113364,Rob the Mob (2014),Crime|Drama
113378,"Giver, The (2014)",Drama|Sci-Fi
113453,Let's Be Cops (2014),Comedy|Crime
113532,"Inbetweeners 2, The (2014)",Comedy
113573,Sin City: A Dame to Kill For (2014),Action|Crime|Thriller
113630,"Man Who Couldn't Say No, The (Mies joka ei osannut sanoa EI) (1975)",Comedy|Drama|Romance
113642,Night Moves (2013),Drama|Thriller
113644,"Split, The (1968)",Crime|Drama
113705,"Two Days, One Night (Deux jours, une nuit) (2014)",Drama
113741,Coherence (2013),Drama|Mystery|Sci-Fi|Thriller
113775,Life of Crime (2013),Comedy|Crime
113862,"Guest, The (2014)",Thriller
113938,Nixon by Nixon: In His Own Words (2014),Documentary
114028,Pride (2014),Comedy|Drama
114033,Into the Storm (2014),Action|Thriller
114048,Tennessee Johnson (1942),Drama
114060,The Drop (2014),Crime|Drama|Thriller
114074,The Skeleton Twins (2014),Drama
114119,Very Ordinary Couple (Yeonaeui Wondo) (2013),Comedy|Drama|Romance
114180,"Maze Runner, The (2014)",Action|Mystery|Sci-Fi
114182,No Good Deed (2014),Thriller
114246,"Walk Among the Tombstones, A (2014)",Action|Crime|Mystery|Thriller
114271,Hot Pepper (1973),Documentary|Musical
114273,Bethlehem (2013),Drama|Thriller|War
114342,Force Majeure (Turist) (2014),Drama
114392,"Homesman, The (2014)",Drama|Western
114439,"November Man, The (2014)",Action|Crime|Thriller
114486,"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2014)",Comedy|Documentary
114494,Who Am I (Kein System Ist Sicher) (2014),Thriller
114552,"Boxtrolls, The (2014)",Adventure|Animation|Children|Comedy|Fantasy
114554,"Tale of Princess Kaguya, The (Kaguyahime no monogatari) (2013)",Animation|Drama|Fantasy
114601,This Is Where I Leave You (2014),Comedy|Drama
114662,American Sniper (2014),Action|War
114670,Tusk (2014),Comedy|Drama|Horror
114678,Hector and the Search for Happiness (2014),Adventure|Comedy|Drama
114700,"Tribe, The (Plemya) (2014)",Crime|Drama
114707,Horns (2014),Horror|Mystery
114713,Annabelle (2014),Horror
114760,Happy Christmas (2014),Comedy|Drama
114762,Two Night Stand (2014),Comedy|Romance
